aaron	Ааронов
abacus	счёты
abandon	бросать,забрасывать,забросать,забросить,побросать
abandoned	брошенный,осиротевший,осиротелый,покинутый
abandonment	заброшенность,оставление
abase	смирить,смирять,унижать,унизить
abasement	унижение
abashed	сконфуженный
abate	затихать,затихнуть,легчать,ослабевать,ослабеть
abatement	спад,уменьшение,уступка
abatis	засека
abattoir	бойня
abbess	настоятельница
abbey	аббатство,монастырь
abbot	аббат,настоятель
abbreviate	сократить,сокращать
abbreviated	аббревиатурный,сложносокращённый,сокращённый
abbreviation	аббревиатура,сокращение
abc	аз,букварь
abc-book	азбука
abdicate	отказаться,отказываться
abdomen	брюшко,живот
abdominal	брюшной,набрюшный
abduct	похитить,похищать,увезти,увозить,умыкать
abduction	похищение,увоз,умыкание
abductor	похититель,похитительница
aberration	аберрация
abhor	ненавидеть
abhorrence	ненависть
abide	обретаться,пребывать
abies	пихта
ability	способность,умение
abkhazian	абхаз,абхазец,абхазка,абхазский
ablate	удалять
ablation	вырезывание,удаление
ablaut	абляут
able	знающий,умелый
able-bodied	работоспособный,трудоспособный
ablution	омовение
ably	талантливо
abnegation	самоотречение
abnormal	аномальный,анормальный,ненормальный,уродливый
abnormality	ненормальность,уродство
aboard	борт
abode	жилище,местопребывание,обиталище,обитель
abolish	аннулировать,отменять,уничтожать,упразднить,упразднять
abolishment	уничтожение,упразднение
abolition	аннулирование,ликвидация,отмена,уничтожение,упразднение
abolitionism	аболиционизм
abolitionist	аболиционист
abomasum	сычуг
abominable	отвратительный
abominably	отвратительно
aboriginal	абориген
aboriginals	автохтон
abortion	аборт,выкидыш
abortive	абортивный,мертворождённый
abound	изобиловать
about	какой-нибудь,насчёт,об,около,окрест
above	вверху,выше,вышеуказанный,наверху,над
above-mentioned	вышеозначенный,вышеупомянутый
above-named	вышеназванный,вышепоименованный
above-stated	вышеизложенный
above-water	надводный
abracadabra	абракадабра
abrade	ссаживать,тереть
abrasion	абразия,ссадина,царапина
abrasive	абразив,абразивный
abridgement	сокращение
abroad	граница,заграница,зарубежный
abrogate	аннулировать,отменять
abrogation	аннулирование,отмена
abrupt	дробный,крутой,обрывистый,односложный,отрывистый
abruptly	резко
abruptness	односложность,резкость
abscess	абсцесс,гнойник,нарыв
absciss	абсцисса
abscissa	абсцисса
absence	неимение,отлучка,прогул,пропуск
absent-minded	забывчивый,машинальный,рассеянный
absent-mindedly	машинально
absent-mindedness	забывчивость
absentee	отсутствующий,прогульщик,прогульщица
absenteeism	абсентеизм,прогул
absentmindedly	рассеянно
absinth	абсент,полынь
absolute	абсолютный,безусловный,беспрекословный,неограниченный,положительный
absolutely	абсолютно,безусловно,положительно,решительно,ровно
absolution	прощение
absolutism	абсолютизм
absolutist	абсолютист,абсолютистский
absorb	абсорбировать,вбирать,вобрать,впивать,впитать
absorbability	поглощаемость
absorbed	поглощённый,углублённый
absorbent	поглотитель
absorber	поглотитель
absorbing	увлекательный
absorption	абсорбция,впитывание,всасывание,поглощение
abstain	воздержаться,воздерживаться
abstainer	воздержавшийся,непьющий,трезвенник
abstemious	воздержанный,непьющий
abstemiousness	воздержание,воздержанность
abstention	воздержание,неучастие
abstinence	воздержанность
abstinent	воздержанный,трезвый
abstract	абстрагировать,абстрактный,академичный,кабинетный,книжный
abstraction	абстракция,отвлечение
abstractionist	абстракционистский
abstractness	отвлечённость
abstruse	академичный,мудрёный,неудобопонятный,теоретичный
abstruseness	абстрактность,хитрость
absurd	абсурдный,вздорный,завиральный,нелепый,несообразный
absurdity	абсурд,абсурдность,бессмыслица,дикость,нелепость
absurdly	нелепо
abulia	абулия
abundance	благодать,избыток,изобилие,обилие,урожай
abundant	благодатный,изобильный,обильный,хлебный
abuse	бранить,брань,выругать,заругать,злоупотребить
abusive	бранный,оскорбительный,ругательный
abusiveness	оскорбительность
abut	примкнуть,примыкать
abutment	контрфорс,пята,устой
abyss	бездна,пропасть,пучина
abyssal	глубинный
acacia	акация
academic	академический
academician	академик
academy	академия
acanthus	акант
acathistus	акафист
accelerant	ускоритель
accelerate	ускорить,ускорять,ускоряться
accelerating	ускорительный
acceleration	акселерация,разгон,ускорение
accelerative	ускорительный
accelerator	акселератор,ускоритель
accent	акцент,акцентный,выговор,говор,говорок
accentology	акцентология
accentual	акцентный
accentuate	акцентировать,подчеркнуть,подчёркивать
accentuation	акцентуация,ударение
accept	акцептовать,стерпеться
acceptability	приемлемость
acceptable	приемлемый
acceptance	акцепт,принятие
accepted	принятый
accesary	соучастник,соучастница
accesory	аксессуар
access	доступ
accessary	побочный
accessibility	доступность
accessible	достижимый,доступный,досягаемый
accession	воцарение
accessories	арматура,принадлежность
accessory	второстепенный,добавочный,сообщник,сообщница
accidence	словоизменение
accident	авария,несчастье,происшествие
accident-free	безаварийный
accidental	нечаянный
accidentally	нечаянно,случайно
accipitral	ястребиный
acclimatization	акклиматизация
acclimatize	акклиматизировать
accommodate	вместить,вмещать,помещать,приспособить,приспособлять
accommodation	аккомодация,размещение
accompaniment	аккомпанемент,сопровождение
accompanist	аккомпаниатор,концертмейстер
accompany	аккомпанировать,довести,доводить,подыграть,подыгрывать
accompanying	прилагаемый,сопроводительный,сопровождающий,сопутствующий
accomplice	единомышленник,посадник,посадница,пособник,пособница
accomplish	выполнить,выполнять,осуществить,осуществлять,провернуть
accomplishable	выполнимый
accomplishment	выполнение,осуществление,совершение
accomplishments	знание
accord	вязаться,согласие,созвучие
accordance	соответствие
accordingly	соответственно
accordion	аккордеон,баян,гармоника,гармонь
accordion-pleated	плиссе
accordionist	аккордеонист
accost	заговаривать,приставать,приступиться
accouchement	роды
accoucheur	акушёр
account	бухгалтерский,изложение,объяснить,объяснять,описание
accountability	подотчётность
accountable	отчётный,подотчётные
accountant	бухгалтер,счетовод
accounting	счетоводный,счетоводство
accounts	отчётность,расквитаться
accoutrements	амуниция
accredit	аккредитировать
accrete	срастаться,срастись,сросшийся
accretion	прирост,срастание
accrue	начислять,прирастать,прирасти
