Ааронов	aaron
Австралия	australia
Азия	asia
Акрополь	acropolis
Амур	the amur river,cupid,the god of desire
Англия	england
Антанта	the entente
Аргентина	argentina
Аэрофлот	air fleet,aeroflot,russian airline
Беларусь	belarus
Берлин	berlin
Близнецы	gemini,the twins,twins
Богородица	the virgin,our lady
Бостон	boston
Бразилия	brazil
Британия	britania,britain
Бурятия	buryatia,a mountainous region in eastern siberia
Вакх	bacchus
Великобритания	great britain
Венгрия	hungary
Венера	venus
Владивосток	vladivostok
Гавана	havana
Геба	hebe
Германия	germany
Гонконг	hong kong
Греция	greece
Грузия	georgia
ДОСААФ	voluntary society for assisting army,air force and navy
Дания	denmark
Днепр	dnieper,dnipro
Днепропетровск	dnipropetrovsk,dnepropetrovsk
Донбасс	donbas,donets basin,donets coal-field
Дублин	dublin,capital of ireland
Европа	europe
Екатеринбург	yekaterinburg
Израиль	israel
Индия	india
Индонезия	indonesia
Иордан	jordan river
Иордания	jordan,hashemite kingdom of jordan
Иран	iran
Ирод	tyrant
Исландия	iceland
Испания	spain
Италия	italy
Кавказ	caucasus
Казахстан	kazakhstan
Казбек	kazbek
Каин	cain
Канада	canada
Киев	kiev
Коминтерн	comintern
Копенгаген	copenhagen
Крым	crimea
Куба	cuba
Кузбасс	the kuzbas
Кёльн	cologne (city in germany)
Латвия	latvia
Ленинград	leningrad
Литва	lithuania
Лондон	london
Македония	macedonia
Малайзия	malaysia
Метрострой	metrostroi
Мехико	mexico city
Милан	milan
Минск	minsk
Молдавия	moldova,moldavia
Молдова	moldova
Москва	moscow
Мьянма	myanmar
Нева	neva
Нечерноземье	non-black earth zone,non-chernozem zone
Новосибирск	novosibirsk
Обь	ob
Одесса	odessa,odesa
Орион	orion
Панама	panama,swindle
Париж	paris
Парки	parcae,the weird sisters,fates
Парнас	parnassus
Пекин	beijing
Перепёлочка	little quail
Перун	peroun
Петербург	st petersburg
Питер	saint petersburg,peter
Плеяды	pleiades
Польша	poland
Португалия	portugal
Псков	pskov
Путин	putin (surname)
Реомюр	reaumur
Рига	threshing barn
Рим	rome
Россия	russia
Рыбы	the fish,pisces
СССР	ussr,soviet union
США	united states of america (usa)
СЭВ	the council for mutual economic aid
Саха	sakha republic,yakutia
Севастополь	sevastopol
Сеул	seoul
Скандинавия	scandinavia
Скопье	skopje
Совинформбюро	soviet information bureau
Сталин	stalin
Стокгольм	stockholm
Сянган	xianggang,hong kong
Тайвань	taiwan
Таллинн	tallinn
Тбилиси	tbilisi
Топтыгин	bruin
Туркмения	turkmenistan
Турция	turkey
Тюмень	tyumen
Украина	ukraine
Урал	ural
ФИО	last name first name patronymic
Финляндия	finland
Флоренция	florence
Франция	france
Харбин	harbin
Хорватия	croatia
Христос	christ
Цельсий	celsius
Цюрих	zurich
Человек-паук	spiderman
Черногория	montenegro
Чехия	czech republic
Чечня	chechnya
Шанхай	shanghai
Швейцария	switzerland
Швеция	sweden
Шотландия	scotland
Эверест	mount everest
Эдинбург	edinburgh
Эскулап	aesculapius
Эстония	estonia
Япония	japan
абажур	lampshade,shade
аббат	abbot,priest
аббатство	abbey
аббревиатура	abbreviation
аббревиатурный	abbreviated
аберрация	aberration
абзац	indentation,indention,paragraph
абитуриент	university entrant
абитуриентка	university entrant
абляут	ablaut
аболиционизм	abolitionism
аболиционист	abolitionist
абонемент	subscription,season ticket
абонементный	subscription
абонент	subscriber,telephone subscriber
абонентка	subscriber,telephone subscriber
абонентный	adjective of абонент
абонировать	subscribe,take out a booking,reserve a seat
абонироваться	subscribe,take out a booking
абордаж	boarding
абордажный	adjective of абордаж
