the	тем
to	в,на,к,без,против,ко
and	и,да,а,но,же,причём
of	о,насчёт
in	в,за,из,внутрь,по-твоему,по-нашему,IN
is	есть,рад,рада,являться,ИС,радо
for	в,за,для,к,из-за,ибо
that	так,который,та,настолько,кой,оный
you	вы,тебя,тебе,вас,вам,вами
it	его,её,ему,ей,им,ит,It
on	в,на,Он,о,включенный
this	эти,такой,эта,сей,сего,сё
was	Уас
with	с,у,при,причём
as	как,так,когда,пока,настолько,поскольку,AS
are	арам,ар,ара,аре,арами,арах
at	в,на,у,при,возле,собачка,AT
have	иметь,завести,владеть,закатывать,закатать,выкушать
by	за,к,до,ко,мимо,возле,By
he	он,она,оно
not	не,нет
but	а,но,же,лишь,кроме,зато
from	с,из,от,из-за,из-под,изо
my	мой,свой,MY
an	Ан
we	мы
your	твой,ваш,свой
all	всё,совсем,весь,полностью,целый,All
his	его,свой
so	и,очень,поэтому,итак,настолько,столь
they	они
if	если,ли,предположение,коли,ежели,кабы,If
me	я,мне,меня,мой,себе,ME
one	единиц,единица,единицам,единице,единицами,единицах
can	банка,банке,банки,банках,банкам,банками,Can
will	воле,Toyota WiLL,волеизъявление,волеизъявлением,волеизъявлении,волеизъявлений,волеизъявлению
just	именно,лишь,едва,впритык,божеский,праведен
like	как,любить,захотеть,наподобие,лайкать,лайкнуть
about	готов,вокруг,насчёт,какой-нибудь,кругом,взад-вперёд
out	аут,аута,ауте,аутам,аутами,аутах
what	какой,которая,какая,которое,какое,каков
has	Хас
no	не,нет,ни,No,воспрещается
when	когда
it's	это,есть,имеет,это-то
their	их,свой,ихний
there	есть,вот,там,туда,вон,имеются
get	влезть,влезать,вместить,врубиться,вмещать,врубаться
her	её,ей,свой
time	Время,времени,времена,временем,временами,временах,временам
new	клетке,клетка,клетках,клетками,клеткам,внове
people	люди,людей,Народ,люд,люда,люде,людом
she	она,оно
would	бы,пожалуйста,бывало,выключите
how	как,насколько,как-то,каково,то-то,сколь
also	тоже,также
don't	не
now	сейчас,пора,ну-ка,ныне,бишь,скашивать
some	какой-то,какой-нибудь,иной,некий,некоторый,кое-какой
other	другой,кроме,иной,прочее,прочего,прочем
good	блага,благ,благе,благами,благам,благах
its	его,её,свой,ITS
only	всё,всего,единственный,единственно,единственна,единственен
our	наш,свой,нашить
than	чем,чём,нежели
after	за,из-за,позади,вслед,кормовой,вдогонку
first	впервые,во-первых,начальный,начален,начальна,начально,Фёрст
him	его,ему
into	в,на
know	знать,узнать,уметь,познать,познавать,ведать
see	видеть,встретиться,видать,глядеть,видаться,диоцез
two	два,две,двое,вдвоём,двойка,двоек
any	угодно,любой,всякий,какой-нибудь,сколько-нибудь
make	вносить,бузить,выделать,выделка,выделкам,выделками
then	после,потом,дальше,затем,далее,ж
think	думать,обдумать,мыслить,загадать,загадывать,мнить
back	зад,задам,вспять,зада,задами,задах
because	потому,ведь,из-за,поскольку,ибо,Because
these	эти
us	америке,америка,америк,америкам,америками,америках
want	желание,желать,недостаток,захотеть,бедность,неимение
well	значит,источник,здоровый,благополучно,кладезе,кладезей
even	ведь,вообще,вечер,гладкий,выровнять,выравнивать
much	очень,много,гораздо,немало,шибко
said	упомянутый,вышеупомянутый,вышеуказанный,сказанный
should	если,будет,нужно,должен,обязан,ежели
very	больно,весьма,дюже,зела,зеле,зело
way	Путь,дороге,дорога,дорог,дорогах,дорогам,дорогами
where	где,куда,откуда
here	здесь,вот,сюда,здешний,здешне,здешня
may	дабы,Май,мае,боярышник,маев,маем,маечка
need	надо,Потребность,надобности,надобность,надобностей,надобностью,надобностям
really	действительно,неужели,вправду,впрямь,истинно,взаправду
right	верно,верный,верен,вправо,верна,выпрямить
year	года,год,годин,година,годинам,годинами
years	лет,лета,летам,летами,летах
before	до,перед,впереди,заранее,пред,преда
being	бытия,бытие,бытием,бытии,бытий,бытию
day	день,дней,дни,дне,Сутки,дню,дневной
off	из-,вон,долой,гнилой,ис-,выключенный
too	тоже,слишком,также,чересчур
why	о,почему,зачем,причина,ого,отчего
got	попасть
made	заварить
many	много,многие,многое,немало,многий
never	никогда,вовек,вовеки,нипочём,отроду,ввек
still	всё,ещё,всё-таки,кадр,кадра,дистиллятор
take	взять,выбрать,брать,выбирать,воспринимать,воспринять
those	те
down	вдоль,вертикали,вертикаль,Down,вертикалей,вертикалью,вертикалям
great	большой,великий,велик,велика,велико,важнецкий
last	длиться,истекший,колодка,колодкам,колодками,колодках
life	Жизнь,быт,быту,быта,быте,бытом,бытьё
say	говорить,высказать,высказывать,Сэй,вымолвить,гласить,молвить
that's	это-то
through	по,из-за,благодаря,насквозь,посредством,навылет
while	когда,время,пока,хотя
best	лучший,наилучший
such	такой,такова,таков,таково,таковой,этакий
can't	нельзя
home	дома,дом,домам,домах,домами,домашне
look	взгляд,взгляда,взглядами,взгляде,взглядах,взглядам
love	Любовь,влюблённость,влюблённости,амурный,влюблённостей,влюблённостью,влюблённостям
man	Мужчина,боец,бойца,бойцами,бойцам,бойцах,бойце
same	одинаковый
